preco;ano_lanc;mes_lanc;dorm;banh;garag;area_util;meses_entrega;pq_proximo;fav_proxima;met_proximo;cptm_proxima;preco_m2u
541650,5625;4;6;4;3;3;181,7899933;30;1349,11499;134,0764008;5184,064941;591,7581787;2979,540039
136400,0313;5;10;2;2;2;59,02999878;33;1116,036987;852,1809082;1931,022949;4868,323242;2310,689941
201799,8594;2;3;3;2;2;95,30999756;28;1379,672974;781,7963257;4189,350098;1253,499023;2117,300049
173300,1563;3;6;1;1;1;44,09000015;36;22,58757019;411,431488;1592,953979;1357,253052;3930,600098
106095,8047;3;7;2;1;1;53,84999847;28;2382,340088;1417,232056;1282,262939;3505,440918;1970,209961
764751;6;2;4;3;4;212,3399963;26;526,0112915;442,0864868;2664,110107;2936,108887;3601,540039
259999,8594;7;11;3;2;2;82;11;2681,706055;1456,241943;1495,828979;1412,218994;3170,72998
395010,0625;5;5;3;3;2;133,1300049;36;714,7277832;2620,761963;1689,410034;1818,844971;2967,100098
170502,7813;7;4;2;2;2;64,69000244;11;2956,844971;2197,187988;2215,733887;2391,571045;2635,689941
206610,25;5;2;2;2;1;63,47999954;29;303,1590881;321,1177063;4601,234863;590,0438843;3254,72998
134992,4844;4;4;3;2;2;75,25;0;306,7796021;1229,487061;391,4034119;2150,281006;1793,920044
424999,375;6;2;3;3;3;141;31;920,7924805;1568,136963;2302,091064;1929,18396;3014,179932
2145001;3;3;4;4;5;370,8200073;21;919,4456177;1839,303955;5395,015137;2214,978027;5784,47998
297999,75;7;4;3;2;2;80,48999786;28;2040,31897;896,9467773;299,4641113;4465,11084;3702,320068
218999,9063;8;3;3;2;2;70;30;339,6636047;1662,800049;1343,188965;2931,310059;3128,570068
1127999,625;6;12;4;4;5;266,6300049;31;2158,812988;609,1187744;4569,26416;1595,68396;4230,580078
230000,2813;6;5;2;2;1;67,05000305;36;2355,792969;2153,633057;1913,245972;1201,587036;3430,280029
126125,8203;7;11;2;2;1;50,40999985;18;1759,71106;232,2599945;1701,233032;5635,953125;2502
362100,0938;4;2;2;2;2;80,01999664;34;652,2910767;2016,42395;3403,076904;2348,954102;4525,120117
193200,0781;3;6;2;1;2;64,91000366;1;196,7536011;440,0647888;2951,562012;3188,275879;2976,429932
148000,2031;5;1;3;2;2;73;14;1403,083008;536,8204956;399,4179993;6745,192871;2027,400024
706000;4;9;4;3;3;173,6000061;32;1164,355957;1656,36499;567,7910156;4345,458008;4066,820068
2864799,75;5;8;4;4;5;402,0100098;36;323,4413147;1390,501953;2772,958008;2976,862061;7126,189941
424000,3438;5;1;4;3;3;143,6699982;36;2699,778076;1848,634033;1792,124023;992,3427734;2951,209961
799999,5625;3;4;3;3;3;190,7899933;31;709,4650879;2887,99292;698,6665039;2934,197021;4193,089844
